"area","epiweek","date","Ratio","omicron_Rt","delta_Rt","delta_cases","omicron_cases","omicron_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","third_dose","full_vax_rate","stringency","gov_response","containment_health","economic_support"
"Bristol, North Somerset and South Gloucestershire",48,2021-12-01,8.31493421372036,5.84602654365923,0.728885244748904,1747,21,0.0118778280542986,6.15480991772243,83.3200313023159,0.00490905956498214,14356.2509765625,6.51841137369047e-05,619.784790039062,963522,749524,690724,297403,0.308662386536062,23.15,34.9,36.31,25
"Bristol, North Somerset and South Gloucestershire",49,2021-12-08,4.46082534709922,2.15567150109785,0.463364822607104,759,150,0.165016501650165,7.41439921515329,81.3130351475307,0.00513881684413978,8308.7216796875,0.000114327514178772,619.784790039062,963522,751161,693677,340693,0.353591303571688,23.15,34.9,36.31,25
"Bristol, North Somerset and South Gloucestershire",50,2021-12-15,2.89158595109815,0.90269857621869,0.307643507704419,742,1607,0.684120902511707,7.88632842472621,91.916391645159,0.00617249256798199,8577.78201729911,8.27098233457946e-06,619.784790039062,963522,753854,697520,440972,0.457666768376851,35.45,41.8157142857143,44.2185714285714,25
"Buckinghamshire, Oxfordshire and Berkshire West",47,2021-11-24,7.38254035122576,6.04506530841574,1.27420225230928,381,1,0.00261780104712042,4.13276390518461,82.1340800694057,0.00418374248381172,15122.3761160714,6.68406379184765e-05,368.807464599609,1115013,1384853,1264479,480377,0.430826367046842,23.15,34.3357142857143,35.6742857142857,25
"Buckinghamshire, Oxfordshire and Berkshire West",48,2021-12-01,7.09755823260401,4.24743531615183,0.613571933349537,3075,61,0.0194515306122449,5.43010822364262,85.8002624511719,0.00475507918080049,12637.2706473214,7.67529995268238e-05,368.807464599609,1115013,1388365,1271226,553598,0.496494659703519,23.15,34.9,36.31,25
"Buckinghamshire, Oxfordshire and Berkshire West",49,2021-12-08,4.21407524610778,1.57041057993479,0.359638056161666,3184,677,0.175343175343175,6.65228700637817,84.8200868879046,0.00499291910922953,8735.24117606027,0.000145663296279963,368.807464599609,1115013,1391535,1276745,631396,0.566267837235978,23.15,34.9,36.31,25
"Buckinghamshire, Oxfordshire and Berkshire West",50,2021-12-15,3.78397677981241,1.0096384378519,0.268177978219176,1831,3346,0.646320262700406,7.94352715356009,91.8383440290179,0.00615888255249177,7854.72907366071,1.04872117715006e-05,368.807464599609,1115013,1396181,1283635,795959,0.713856251003351,35.45,41.8157142857143,44.2185714285714,25
"Cambridgeshire and Peterborough",47,2021-11-24,6.28313119326685,3.02486082489192,1.06106775758946,171,2,0.0115606936416185,4.50049938474383,80.2243619646345,0.00420774652489594,14034.57421875,6.6859377548261e-05,231.990753173828,969845,748973,683675,259498,0.267566466806552,23.15,34.3357142857143,35.6742857142857,25
"Cambridgeshire and Peterborough",48,2021-12-01,18.1194021339551,2.58051587792472,0.148746459113607,1762,16,0.00899887514060742,5.30135185377938,83.686024257115,0.00466818063120757,11348.1469029018,8.92654802718036e-05,231.990753173828,969845,751134,687658,296371,0.305585944145714,23.15,34.9,36.31,25
"Cambridgeshire and Peterborough",49,2021-12-08,11.7065006481732,1.89379736706914,0.171535760999331,1706,201,0.105401153644468,6.20853352546692,84.4358389718192,0.0049467734726412,8158.91810825893,0.000158830779712714,231.990753173828,969845,752966,691199,337925,0.348431965932701,23.15,34.9,36.31,25
"Cambridgeshire and Peterborough",50,2021-12-15,4.67631680187975,0.738911573339723,0.155399969080329,222,281,0.558648111332008,7.85082125663757,91.0390407017299,0.00605600912656103,7224.61830357143,1.08105623439769e-05,231.990753173828,969845,755652,695345,423283,0.436443967850533,35.45,41.8157142857143,44.2185714285714,25
"Cheshire and Merseyside",47,2021-11-24,14.9888557652052,4.74751837219906,0.928095497600274,980,13,0.013091641490433,4.61925704990114,80.5359736851284,0.0042559915953981,12978.4541015625,0.000122881056881852,1011.20953369141,2496557,1867858,1715211,717545,0.28741382632161,23.15,34.3357142857143,35.6742857142857,25
"Cheshire and Merseyside",48,2021-12-01,6.53981057596578,4.98678649781411,1.01269903293574,8383,94,0.0110888285950218,5.91242432594299,84.4088973999023,0.00478361786476203,9598.57672991071,0.000200464223390944,1011.20953369141,2496557,1873166,1723531,815428,0.326621022472149,23.15,34.9,36.31,25
"Cheshire and Merseyside",49,2021-12-08,6.4860321668438,3.16798703906444,0.49472869652606,6795,824,0.108150675941725,7.00140196936471,86.1253400530134,0.00520055667896356,6992.43045479911,0.000253580676923905,1011.20953369141,2496557,1878218,1731309,925159,0.370573954450069,23.15,34.9,36.31,25
"Cheshire and Merseyside",50,2021-12-15,3.29437099537003,1.39234561116307,0.427243556227477,4984,5838,0.539456662354463,7.03377321788243,88.7277886526925,0.00558067578822374,7283.10393415179,6.7109535036382e-05,1011.20953369141,2496557,1885855,1741179,1120990,0.449014382607727,35.45,41.8157142857143,44.2185714285714,25
"Coventry and Warwickshire",47,2021-11-24,6.50387648245152,5.59948914003331,1.18305741856493,271,2,0.00732600732600733,4.11156286512102,82.0311649867466,0.00416893112872328,14677.208984375,7.14529626902406e-05,544.5615234375,949454,701798,640659,278805,0.293647717530286,23.15,34.3357142857143,35.6742857142857,25
"Coventry and Warwickshire",48,2021-12-01,6.51254852713452,6.09684810376248,1.03567087081029,1934,23,0.0117526826775677,5.38091269561223,86.0444205147879,0.00471264549664089,11802.6953822545,8.77460526810734e-05,544.5615234375,949454,704216,644804,314083,0.330803809347267,23.15,34.9,36.31,25
"Coventry and Warwickshire",49,2021-12-08,6.70381390236501,1.94558643987001,0.272391635359475,1707,325,0.15994094488189,6.47100758552551,86.3728354317801,0.00500231595443828,7970.37513950893,0.000139831490741926,544.5615234375,949454,706384,648531,351027,0.369714593861314,23.15,34.9,36.31,25
"Coventry and Warwickshire",50,2021-12-15,3.69147178023186,0.397472610405959,0.103006338403322,1657,2734,0.622637212480073,7.79325359208243,92.346314566476,0.00612832878583244,7194.94426618304,1.64515344554924e-05,544.5615234375,949454,710423,652489,435717,0.458913228023685,35.45,41.8157142857143,44.2185714285714,25
"Cumbria and North East",47,2021-11-24,7.3350593253271,2.84594515692493,0.965933927221987,1193,18,0.0148637489677952,4.03586609874453,82.0400793892997,0.00401476750682507,11869.1482282366,0.000167866503886671,218.920364379883,3117630,2282141,2094662,871253,0.279460038554928,23.15,34.3357142857143,35.6742857142857,25
"Cumbria and North East",48,2021-12-01,5.25049579266946,5.83388913552239,1.251322877559,9082,156,0.0168867720285776,5.34521116529192,85.7251347133091,0.00456121756828257,7800.99295479911,0.000256394241919874,218.920364379883,3117630,2287819,2102873,996924,0.319769825155647,23.15,34.9,36.31,25
"Cumbria and North East",49,2021-12-08,8.56913543442039,3.58436814808611,0.442534709232928,8145,323,0.0381435994331601,6.15487432479858,89.9994136265346,0.00484710286504456,5499.1151297433,0.000135842940315862,218.920364379883,3117630,2294070,2112855,1136152,0.364428107248134,23.15,34.9,36.31,25
"Cumbria and North East",50,2021-12-15,4.39224393989189,1.98249294127477,0.488236788244101,7300,3949,0.351053426971286,6.81648107937404,89.3525630405971,0.00535198653649007,6357.72272600446,1.25071643099415e-05,218.920364379883,3117630,2302301,2124690,1367116,0.438511305061858,35.45,41.8157142857143,44.2185714285714,25
"Devon",47,2021-11-24,2.52079291499068,3.25235430463709,1.42224680053007,20,0,0,5.71997172491891,78.7927474975586,0.00445399915666452,17161.2522321429,5.13863297563993e-05,176.260620117188,1200739,963547,889805,365677,0.304543285426725,23.15,34.3357142857143,35.6742857142857,25
"Devon",48,2021-12-01,6.45651688439914,3.36753870317058,0.559252124858194,291,2,0.0068259385665529,7.49397393635341,83.1511851719448,0.00527141462745411,13514.3737444196,0.000117762609599075,176.260620117188,1200739,965952,894620,422779,0.352098999033095,23.15,34.9,36.31,25
"Devon",49,2021-12-08,7.89637384880776,2.10606663944972,0.265800889540394,178,25,0.123152709359606,8.47602496828352,79.2096906389509,0.00533500566546406,9905.52546037946,0.000126861602309093,176.260620117188,1200739,967964,898495,483821,0.402936025231128,23.15,34.9,36.31,25
"Devon",50,2021-12-15,3.44271248054915,0.647523379028243,0.183289042950224,127,131,0.507751937984496,8.25767639705113,92.4472285679409,0.00634977653888719,10994.0885881696,1.08804408357953e-05,176.260620117188,1200739,971310,903495,598360,0.498326447296207,35.45,41.8157142857143,44.2185714285714,25
"Dorset",47,2021-11-24,3.59911859398662,4.20330631406928,1.39779824426885,114,0,0,4.75436197008405,79.5897870744978,0.00424879180666591,17657.9624720982,2.46867242107588e-05,290.132537841797,773839,613364,570612,234872,0.303515330708326,23.15,34.3357142857143,35.6742857142857,25
