"area","epiweek","alpha_Rt","background_Rt","generation_time","alpha_cases_corrected","background_cases_corrected","alpha_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","stringency","gov_response","containment_health","economic_support"
"Birmingham and Solihull",50,1.99,0.99,"original",52.2316863423819,223.768313657618,0.189245240370949,6.4570871421269,92.7099391392299,0.00524987080799682,7578.4755859375,0.00011810867083893,1754.47473144531,787282,67.59,69.8842857142857,65.5771428571429,100
"Birmingham and Solihull",51,2.11,1.04,"original",77.7972627889351,170.202737211065,0.313698640277964,9.01319374356951,87.6845855712891,0.00607076187485031,8729.63745117188,9.73221554098862e-05,1754.47473144531,787282,68.65,71.0142857142857,66.87,100
"Birmingham and Solihull",52,2.06,1.02,"original",210.568608974854,216.431391025146,0.493134915631976,5.79704785346985,87.6166523524693,0.00502514463317181,9124.42857142857,0.000210770779761203,1754.47473144531,787282,72.6857142857143,73.28,69.4642857142857,100
"Birmingham and Solihull",53,1.24,0.67,"original",541.411449748673,262.588550251327,0.673397325558051,1.89220404412065,92.215463910784,0.00375056852187429,10102.9283621652,4.39860131434346e-05,1754.47473144531,787282,74.07,74.06,70.36,100
"Birmingham and Solihull",54,1,0.54,"original",651.171908121706,214.828091878294,0.751930609840307,0.750079478536333,91.0185775756836,0.00366242313092308,11452.9001116071,9.54487334021386e-06,1754.47473144531,787282,85.9757142857143,82.5457142857143,80.0542857142857,100
"Birmingham and Solihull",55,0.86,0.46,"original",654.636731838433,158.363268161567,0.805211232273595,3.86886833395277,90.8685782296317,0.00463106446633382,8015.4253452846,0.000225426934564764,1754.47473144531,787282,87.96,83.96,81.67,100
"Bristol, North Somerset and South Gloucestershire",45,1.77,0.98,"original",17.6139307746729,812.386069225327,0.0212216033429794,8.74627787726266,82.8138831002372,0.00597399080704365,23593.5475725446,6.9907811756309e-05,619.784790039062,963522,72.62,71.5785714285714,67.5171428571429,100
"Bristol, North Somerset and South Gloucestershire",46,1.05,0.57,"original",82.8918206294058,1783.10817937059,0.0444221975505926,11.2375076838902,86.4495337350028,0.00714216454486762,14611.5315987723,0.000129058578035516,619.784790039062,963522,77.78,74.48,70.83,100
"Bristol, North Somerset and South Gloucestershire",47,1.04,0.55,"original",57.893309915313,930.106690084687,0.0585964675256204,9.33345787865775,85.5817369733538,0.00635697539629681,10606.9127371652,4.70517281233437e-05,619.784790039062,963522,75.3971428571429,73.1428571428571,69.3042857142857,100
"Bristol, North Somerset and South Gloucestershire",48,1.31,0.68,"original",56.4831194092981,417.516880590702,0.119162699175734,7.27436934198652,90.8484671456473,0.00584008691034147,11811.9054129464,1.96743473667636e-05,619.784790039062,963522,75,72.92,69.05,100
"Bristol, North Somerset and South Gloucestershire",49,1.73,0.91,"original",67.2517214274981,289.748278572502,0.188380172065821,5.70524869646345,88.370473589216,0.00490519351192883,10368.1893136161,0.000142953709972764,619.784790039062,963522,70.7657142857143,68.7514285714286,64.2842857142857,100
"Bristol, North Somerset and South Gloucestershire",50,1.6,0.89,"original",157.816937250814,303.183062749186,0.342336089481159,7.24485083988735,89.6640701293945,0.00540925376117229,10160.2234584263,0.00012635602238983,619.784790039062,963522,67.59,69.8842857142857,65.5771428571429,100
"Bristol, North Somerset and South Gloucestershire",51,1.39,0.84,"original",246.022651135566,246.977348864434,0.499031746725286,9.46410880770002,86.4128450666155,0.00621667550876737,9501.88030133929,0.000163406293333017,619.784790039062,963522,68.65,71.0142857142857,66.87,100
"Bristol, North Somerset and South Gloucestershire",52,2.41,1.46,"original",360.084077097279,227.915922902721,0.612387886219862,7.07732350485665,87.2048590523856,0.00561977244381394,9083.05580357143,0.000246996610128138,619.784790039062,963522,72.6857142857143,73.28,69.4642857142857,100
"Bristol, North Somerset and South Gloucestershire",53,1.11,0.69,"original",819.118908839708,358.881091160292,0.695347121256119,2.26686310768127,90.4618988037109,0.00383459167954113,11304.3519112723,3.12378054912545e-05,619.784790039062,963522,74.07,74.06,70.36,100
"Bristol, North Somerset and South Gloucestershire",54,0.89,0.53,"original",1169.83563786105,362.164362138949,0.763600285810086,1.06403823196888,88.3439156668527,0.00364128180912563,13266.0977957589,5.48059336681815e-06,619.784790039062,963522,85.9757142857143,82.5457142857143,80.0542857142857,100
"Bristol, North Somerset and South Gloucestershire",55,0.75,0.44,"original",732.681786248634,167.318213751366,0.814090873609594,5.52086804541094,89.4936425345285,0.00515599176287651,11103.3305664062,0.00011904769468986,619.784790039062,963522,87.96,83.96,81.67,100
"Buckinghamshire, Oxfordshire and Berkshire West",45,1.93,0.98,"original",6.9978869700237,1200.00211302998,0.00579775225354076,8.44539764949254,84.3174601963588,0.00593027472496033,22931.7935267857,5.26413524438242e-05,368.807464599609,1115013,72.62,71.5785714285714,67.5171428571429,100
"Buckinghamshire, Oxfordshire and Berkshire West",46,1.48,0.69,"original",47.2193374421191,1410.78066255788,0.0323863768464466,11.1937445231846,87.3452987670898,0.00717469158449343,15352.6928710938,0.000131454274716296,368.807464599609,1115013,77.78,74.48,70.83,100
"Buckinghamshire, Oxfordshire and Berkshire West",47,1.64,0.8,"original",96.4506304781253,1008.54936952187,0.0872856384417424,9.09772525514875,84.5972202845982,0.00617979327216744,11321.3755580357,2.57279020843271e-05,368.807464599609,1115013,75.3971428571429,73.1428571428571,69.3042857142857,100
"Buckinghamshire, Oxfordshire and Berkshire West",48,1.92,1.04,"original",141.300565426041,749.699434573959,0.158586493182987,6.81687089375087,92.9900131225586,0.00576888417292919,11216.6207449777,2.37465118766116e-05,368.807464599609,1115013,75,72.92,69.05,100
"Buckinghamshire, Oxfordshire and Berkshire West",49,2.41,1.3,"original",289.530172105803,764.469827894197,0.274696557975145,4.9947943006243,89.5353709629604,0.00464050525001117,10093.9090750558,9.72992811187266e-05,368.807464599609,1115013,70.7657142857143,68.7514285714286,64.2842857142857,100
"Buckinghamshire, Oxfordshire and Berkshire West",50,2.3,1.09,"original",645.060625523928,1050.93937447607,0.380342349955146,6.40228172710964,92.6689028058733,0.0052311378531158,8450.02347237723,0.000100115885418615,368.807464599609,1115013,67.59,69.8842857142857,65.5771428571429,100
"Buckinghamshire, Oxfordshire and Berkshire West",51,1.44,0.79,"original",1335.47367459544,875.526325404565,0.604013421345742,9.28194781712123,87.5803484235491,0.00617368845269084,10033.3639439174,7.68938823836964e-05,368.807464599609,1115013,68.65,71.0142857142857,66.87,100
"Buckinghamshire, Oxfordshire and Berkshire West",52,1.65,0.94,"original",2631.74639330105,862.25360669895,0.753218773125658,6.59219712790634,88.1521606445312,0.00544150715826878,9054.57927594866,0.000217040513234679,368.807464599609,1115013,72.6857142857143,73.28,69.4642857142857,100
