"area","epiweek","delta_Rt","alpha_Rt","Ratio","alpha_cases","delta_cases","delta_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","full_vax","full_vax_rate","stringency","gov_response","containment_health","economic_support","stringency_lag1","stringency_lag2","gov_response_lag1","gov_response_lag2","containment_health_lag1","containment_health_lag2","economic_support_lag1","economic_support_lag2"
"Buckinghamshire, Oxfordshire and Berkshire West",20,1.86044022236252,0.844259975220246,2.18682491603869,63,120,0.655737704918033,10.2415095738002,80.0855473109654,0.00609400422711458,74899.9520089286,0.000240473700874385,368.807464599609,1115013,996161,575578,575578,0.516207434352783,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",21,1.44154513599626,0.750840767237196,1.91395571685818,33,393,0.922535211267606,11.5298302514212,71.6440729413714,0.00594652018376759,90087.9107142857,5.60332503581102e-05,368.807464599609,1115013,1036875,664435,664435,0.595898881896444,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",22,1.1911458384065,0.690853033115247,1.72658084712737,17,592,0.972085385878489,15.7998768942697,70.4309904915946,0.00769313651004008,101830.15625,3.02844286281642e-05,368.807464599609,1115013,1070038,726748,726748,0.651784328971949,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",23,1.34307026814814,0.727183814281334,1.84656796198363,36,585,0.942028985507246,16.7220096588135,72.7662119184222,0.00854769249313644,94446.8013392857,5.02641042438816e-06,368.807464599609,1115013,1109655,775056,775056,0.695109384374891,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",24,1.61399238583297,0.793450049270978,2.03136150086327,24,806,0.971084337349398,15.935943875994,77.7535732814244,0.00870923584859286,73724.2000558036,0.000408713531641069,368.807464599609,1115013,1153253,812129,812129,0.728358324073352,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",25,1.69853165925174,0.827083015882255,2.0484264393179,18,1432,0.987586206896552,14.0295869282314,77.1434549604143,0.00768789070259247,79697.6143973214,0.00015133402588877,368.807464599609,1115013,1196702,842474,842474,0.755573253406014,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",26,1.74885363526295,0.854092770662824,2.02879317684922,11,2566,0.995731470702367,15.5939123971122,84.0789315359933,0.0092444990628532,68804.0055803571,0.000164512406497254,368.807464599609,1115013,1228604,869958,869958,0.780222293372364,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Cambridgeshire and Peterborough",18,0.832961404521224,0.704599162918024,1.19932480285859,53,0,0,8.78694438934326,73.147155216762,0.00522883362802012,72338.4790736607,0.000205200470060975,231.990753173828,969845,506288,249438,249438,0.257193675278008,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cambridgeshire and Peterborough",19,0.948974459167686,0.681806660958193,1.40302942752149,56,11,0.164179104477612,10.8855000904628,76.1286283220564,0.00605803056220923,80844.4748883929,0.00015061312322879,231.990753173828,969845,527773,288307,288307,0.297271213441323,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cambridgeshire and Peterborough",20,1.17410536732763,0.699063650616122,1.67760346989512,27,5,0.15625,10.2002755573818,76.9479424612863,0.00590099793459688,77758.6021205357,0.000206736583744974,231.990753173828,969845,546757,333142,333142,0.343500250039955,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
